Episode: 466, Score: -44.0, Avg reward: -40.56
Episode: 467, Score: -44.0, Avg reward: -40.56
Episode: 468, Score: -42.0, Avg reward: -40.64
Episode: 469, Score: -44.0, Avg reward: -40.62
Episode: 470, Score: -46.0, Avg reward: -40.72
Episode: 471, Score: -4.0, Avg reward: -40.30
Episode: 472, Score: -44.0, Avg reward: -40.28
Episode: 473, Score: -38.0, Avg reward: -40.24
Episode: 474, Score: -46.0, Avg reward: -40.26
Episode: 475, Score: -24.0, Avg reward: -40.06
Episode: 476, Score: -46.0, Avg reward: -40.58
Episode: 477, Score: -20.0, Avg reward: -40.34
Episode: 478, Score: -42.0, Avg reward: -40.32
Episode: 479, Score: -38.0, Avg reward: -40.46
Episode: 480, Score: -44.0, Avg reward: -40.48
Episode: 481, Score: -16.0, Avg reward: -40.24
Episode: 482, Score: -40.0, Avg reward: -40.20
Episode: 483, Score: -46.0, Avg reward: -40.22
Episode: 484, Score: -44.0, Avg reward: -40.20
Episode: 485, Score: -38.0, Avg reward: -40.16
Episode: 486, Score: -28.0, Avg reward: -40.00
Episode: 487, Score: -38.0, Avg reward: -39.92
Episode: 488, Score: -38.0, Avg reward: -39.90
Episode: 489, Score: -42.0, Avg reward: -39.88
Episode: 490, Score: -26.0, Avg reward: -39.68
Episode: 491, Score: -12.0, Avg reward: -39.48
Episode: 492, Score: -24.0, Avg reward: -39.28
Episode: 493, Score: -36.0, Avg reward: -39.36
Episode: 494, Score: -34.0, Avg reward: -39.28
Episode: 495, Score: -46.0, Avg reward: -39.30
Episode: 496, Score: -40.0, Avg reward: -39.22
Episode: 497, Score: -44.0, Avg reward: -39.22
Episode: 498, Score: -38.0, Avg reward: -39.22
Episode: 499, Score: -30.0, Avg reward: -39.22
Episode: 500, Score: -24.0, Avg reward: -39.00
Episode: 501, Score: -32.0, Avg reward: -38.86
Episode: 502, Score: -46.0, Avg reward: -38.88
Episode: 503, Score: -30.0, Avg reward: -38.72
Episode: 504, Score: -30.0, Avg reward: -38.72
Episode: 505, Score: -34.0, Avg reward: -38.58
Episode: 506, Score: -22.0, Avg reward: -38.40
Episode: 507, Score: -42.0, Avg reward: -38.36
Episode: 508, Score: -26.0, Avg reward: -38.16
Episode: 509, Score: -40.0, Avg reward: -38.14
Episode: 510, Score: -12.0, Avg reward: -37.80
Episode: 511, Score: -46.0, Avg reward: -37.96
Episode: 512, Score: -20.0, Avg reward: -37.74
Episode: 513, Score: -34.0, Avg reward: -37.62
Episode: 514, Score: -36.0, Avg reward: -37.54
Episode: 515, Score: -4.0, Avg reward: -37.16
Episode: 516, Score: -8.0, Avg reward: -36.76
Episode: 517, Score: -28.0, Avg reward: -36.58
Episode: 518, Score: -42.0, Avg reward: -36.60
Episode: 519, Score: -26.0, Avg reward: -36.40
Episode: 520, Score: -4.0, Avg reward: -36.14
Episode: 521, Score: -4.0, Avg reward: -35.78
Episode: 522, Score: -42.0, Avg reward: -35.76
Episode: 523, Score: -12.0, Avg reward: -35.44
Episode: 524, Score: -32.0, Avg reward: -35.36
Episode: 525, Score: -16.0, Avg reward: -35.20
Episode: 526, Score: -28.0, Avg reward: -35.02
Episode: 527, Score: -16.0, Avg reward: -34.82
Episode: 528, Score: -40.0, Avg reward: -34.74
Episode: 529, Score: -46.0, Avg reward: -34.80
Episode: 530, Score: -20.0, Avg reward: -34.56
Episode: 531, Score: -30.0, Avg reward: -34.42
Episode: 532, Score: 2.0, Avg reward: -34.02
Episode: 533, Score: -16.0, Avg reward: -33.82
Episode: 534, Score: -6.0, Avg reward: -33.60
Episode: 535, Score: -38.0, Avg reward: -33.52
Episode: 536, Score: -40.0, Avg reward: -33.48
Episode: 537, Score: -38.0, Avg reward: -33.42
