Episode: 485, Score: 1.0, Avg reward: 1.35
Episode: 486, Score: -1.0, Avg reward: 1.34
Episode: 487, Score: 0.0, Avg reward: 1.33
Episode: 488, Score: -1.0, Avg reward: 1.32
Episode: 489, Score: 0.0, Avg reward: 1.24
Episode: 490, Score: 1.0, Avg reward: 1.24
Episode: 491, Score: 4.0, Avg reward: 1.28
Episode: 492, Score: 17.0, Avg reward: 1.45
Episode: 493, Score: 0.0, Avg reward: 1.46
Episode: 494, Score: 2.0, Avg reward: 1.43
Episode: 495, Score: 0.0, Avg reward: 1.41
Episode: 496, Score: 0.0, Avg reward: 1.39
Episode: 497, Score: 2.0, Avg reward: 1.40
Episode: 498, Score: 1.0, Avg reward: 1.41
Episode: 499, Score: -1.0, Avg reward: 1.39
Episode: 500, Score: -1.0, Avg reward: 1.38
Episode: 501, Score: 1.0, Avg reward: 1.39
Episode: 502, Score: 0.0, Avg reward: 1.38
Episode: 503, Score: 0.0, Avg reward: 1.35
Episode: 504, Score: 14.0, Avg reward: 1.49
Episode: 505, Score: 0.0, Avg reward: 1.50
Episode: 506, Score: 0.0, Avg reward: 1.48
Episode: 507, Score: 1.0, Avg reward: 1.49
Episode: 508, Score: 3.0, Avg reward: 1.50
Episode: 509, Score: 1.0, Avg reward: 1.49
Episode: 510, Score: 0.0, Avg reward: 1.47
Episode: 511, Score: 1.0, Avg reward: 1.48
Episode: 512, Score: -1.0, Avg reward: 1.47
Episode: 513, Score: 0.0, Avg reward: 1.45
Episode: 514, Score: 0.0, Avg reward: 1.45
Episode: 515, Score: 1.0, Avg reward: 1.46
Episode: 516, Score: 6.0, Avg reward: 1.51
Episode: 517, Score: 0.0, Avg reward: 1.52
Episode: 518, Score: 0.0, Avg reward: 1.50
Episode: 519, Score: 8.0, Avg reward: 1.56
Episode: 520, Score: 0.0, Avg reward: 1.56
Episode: 521, Score: 8.0, Avg reward: 1.57
Episode: 522, Score: 1.0, Avg reward: 1.57
Episode: 523, Score: -1.0, Avg reward: 1.57
Episode: 524, Score: 1.0, Avg reward: 1.58
Episode: 525, Score: 0.0, Avg reward: 1.57
Episode: 526, Score: 1.0, Avg reward: 1.57
